Name,Age,Height,Weight,Overall,Potential,WeakFoot,SkillMoves,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,BMI,CB,CDM,CF,CM,LB,LM,LW,LWB,RB,RM,RW,RWB,ST,Clasificación Habilidad
D. Rosero,28,187,87,69,71,2,2,63,38,52,57,68,80,52,33,73,60,42,50,44,37,55,60,54,71,70,63,63,48,92,90,82,36,60,70,43,40,49,55,65,70,66,16,6,9,8,9,24.879178701135288,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
J. Fameyeh,25,180,73,69,74,3,3,82,68,52,68,21,62,28,71,68,64,60,69,46,42,56,67,81,83,75,62,70,69,72,62,68,64,46,17,70,56,66,62,14,18,16,14,9,14,5,14,22.530864197530864,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
F. Lisi,32,179,74,69,69,4,3,84,63,64,73,61,58,69,61,63,65,66,71,70,62,60,75,87,81,79,72,71,67,65,64,58,62,51,64,63,60,65,60,59,61,59,13,14,11,8,6,23.095409007209515,0,0,0,0,0,0,0,0,0,1,0,0,0,Alta
J. Greaves,21,194,87,69,78,2,2,70,31,52,57,69,75,39,25,66,63,24,56,32,28,64,60,63,75,52,68,55,41,73,72,79,31,70,69,44,48,34,58,67,71,69,11,9,13,11,8,23.11616537357849,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
F. Druijf,24,190,83,69,74,3,2,58,72,61,63,33,74,58,76,72,63,67,63,64,43,59,66,56,59,56,67,57,72,66,70,83,66,57,24,70,64,73,59,37,25,23,9,8,9,7,10,22.99168975069252,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
M. Paniagua,35,180,88,69,69,3,2,53,50,66,58,69,70,66,45,51,72,43,53,48,60,73,64,54,53,57,71,52,54,64,59,83,58,53,73,53,54,60,56,64,76,74,9,8,8,9,12,27.160493827160494,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
Pablo Vázquez,27,185,82,69,71,3,2,59,32,49,45,70,70,36,24,71,67,32,35,31,28,49,58,66,53,35,58,51,54,77,50,80,25,66,68,31,38,42,64,70,73,67,5,11,6,9,10,23.959094229364496,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
K. Fischer,21,182,77,69,75,4,2,77,38,61,65,63,69,65,35,56,69,30,64,41,37,59,65,74,79,68,66,70,44,59,74,69,38,63,65,52,57,37,58,63,65,63,7,13,10,13,10,23.24598478444632,0,0,0,0,0,0,0,0,1,0,0,0,0,Alta
Alfa Semedo,24,190,82,69,73,3,3,67,57,59,69,69,77,49,49,71,65,55,70,55,44,62,71,65,68,67,68,45,72,81,76,77,63,75,66,65,60,47,69,68,73,66,14,14,7,11,9,22.71468144044321,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
P. Pellegri,21,188,80,69,76,3,3,65,67,55,68,21,62,50,70,68,61,56,70,56,54,50,73,63,67,61,64,47,70,65,53,74,61,43,18,72,55,59,67,19,12,15,7,14,6,8,14,22.634676324128566,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
B. Wembangomo,25,181,75,69,74,3,3,90,47,57,70,60,72,62,49,55,62,38,70,56,40,50,69,91,90,83,62,77,45,81,83,70,46,63,62,55,54,40,54,60,61,59,16,15,14,9,7,22.89307408198773,0,0,0,0,1,0,0,0,0,0,0,0,0,Alta
R. Leipertz,29,183,82,69,69,4,3,81,70,63,66,35,71,64,72,64,67,59,64,62,63,52,69,83,79,72,62,72,72,68,86,73,69,50,27,68,61,58,59,45,27,20,10,10,15,8,15,24.48565200513601,0,0,0,0,0,0,0,0,0,1,0,0,0,Alta
M. Bulat,20,178,68,69,83,3,3,68,65,75,71,60,69,79,58,61,75,64,68,68,75,75,75,69,68,74,60,76,78,66,75,67,70,68,58,54,71,68,78,59,62,57,13,9,14,10,9,21.461936624163616,0,0,0,0,0,0,0,0,0,0,0,0,0,Alta
S. Mosquera,28,180,77,69,70,3,2,53,52,42,51,70,74,23,40,79,53,22,45,45,75,49,58,54,53,52,58,34,75,45,53,90,68,67,63,23,26,62,63,73,69,65,13,9,8,9,7,23.76543209876543,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
T. Badaloni,22,186,82,69,77,3,3,60,69,51,62,28,69,44,68,74,58,55,60,45,45,43,68,57,62,58,67,53,77,76,63,82,67,42,23,72,56,66,55,31,15,21,14,10,9,11,10,23.702162099664697,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
E. Botheim,22,187,70,69,78,3,3,71,67,51,66,27,72,38,69,70,64,61,63,37,38,43,68,69,72,71,67,72,68,70,73,75,61,62,31,72,56,60,64,29,12,17,9,10,13,12,5,20.0177299894192,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
J. Castillo,21,184,80,69,79,3,3,59,57,66,64,62,71,45,55,43,79,36,62,40,58,72,68,63,55,64,62,62,67,61,70,75,58,64,62,50,68,55,65,62,68,66,13,5,11,12,6,23.62948960302457,0,0,0,1,0,0,0,0,0,0,0,0,0,Alta
F. Amaya,21,163,64,69,79,4,2,72,53,66,70,64,66,54,48,38,73,46,67,62,48,69,71,73,71,83,67,77,68,59,80,54,53,80,63,60,69,45,61,67,72,61,13,7,15,14,11,24.088223117166624,0,0,0,1,0,0,0,0,0,0,0,0,0,Alta
Daniel Mestrança,26,185,74,69,69,2,2,62,47,59,64,69,68,60,41,70,64,47,61,65,55,58,65,66,59,63,71,60,57,70,65,71,52,66,75,49,47,48,80,64,68,73,18,15,16,14,15,21.62162162162162,0,0,0,0,1,0,0,0,0,0,0,0,0,Alta
Wilson Sosán,26,180,71,69,69,3,3,73,48,70,69,30,55,71,44,45,74,56,72,56,44,72,71,70,76,59,54,66,57,61,50,63,38,41,30,69,69,50,71,24,31,32,15,15,15,15,15,21.91358024691358,0,0,0,0,0,0,0,0,0,1,0,0,0,Alta
J. Lopez,30,173,68,69,69,2,3,81,64,67,72,42,60,66,65,47,69,52,71,68,66,64,69,85,77,86,68,83,61,61,72,61,69,40,33,67,65,48,68,35,51,48,16,14,13,11,10,22.72043837081092,0,0,0,0,0,0,0,0,0,1,0,0,0,Alta
Á. Preciado,24,173,74,69,75,3,3,84,59,59,69,63,62,70,56,44,63,48,71,50,43,54,67,83,85,79,58,63,58,55,82,65,68,33,61,60,50,58,64,66,67,62,14,12,11,13,7,24.72518293294129,0,0,0,0,0,0,0,0,0,0,0,1,0,Alta
J. Sands,21,186,73,69,78,3,2,49,50,61,64,70,72,46,55,61,73,38,63,38,35,66,69,43,53,58,69,63,53,71,73,72,40,72,71,49,63,37,55,70,72,66,10,7,7,12,5,21.10070528384784,0,1,0,0,0,0,0,0,0,0,0,0,0,Alta
Mateus Quaresma,25,181,76,69,72,3,2,68,33,58,61,66,69,70,30,50,67,29,64,55,32,64,60,69,67,57,59,63,34,61,72,73,35,58,68,46,34,45,50,62,72,71,6,9,12,10,5,23.198315069747565,0,0,0,0,1,0,0,0,0,0,0,0,0,Alta
B. Diakité,21,185,74,69,78,3,2,65,38,55,56,69,72,50,32,68,66,39,47,37,36,56,65,69,62,60,65,61,53,76,74,71,34,69,68,36,51,48,59,69,71,69,7,10,8,13,5,21.62162162162162,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
B. Manu,25,170,70,69,71,4,4,91,61,57,73,35,67,60,65,42,60,52,73,45,37,52,68,93,89,88,62,90,66,34,72,67,50,69,33,63,59,54,60,31,39,31,8,10,14,8,10,24.221453287197235,0,0,0,0,0,0,0,0,0,1,0,0,0,Alta
E. Wekesser,24,186,81,69,73,3,3,73,63,62,66,63,76,64,66,60,68,52,66,56,52,59,67,75,72,67,65,67,66,63,81,77,55,72,62,60,56,69,60,61,65,64,11,8,11,10,8,23.41311134235172,0,0,0,0,1,0,0,0,0,0,0,0,0,Alta
K. Nisbet,25,180,75,69,72,3,3,67,71,63,67,37,71,53,73,65,66,67,65,63,65,63,67,67,67,71,69,70,71,66,74,72,66,64,40,73,68,67,69,30,34,32,7,13,10,7,13,23.148148148148145,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
A. Barison,27,186,78,69,71,2,2,64,42,49,54,71,70,42,40,72,61,38,44,36,40,60,58,66,63,60,68,71,56,73,67,70,32,71,69,40,33,42,68,71,71,70,13,13,9,12,14,22.54595907041276,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
T. Bradshaw,29,178,71,69,69,3,3,78,68,51,68,30,68,45,71,69,63,63,63,38,37,45,69,78,78,84,68,81,68,80,82,71,62,42,20,72,46,70,66,30,24,31,12,12,16,11,14,22.408786769347305,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
N. Quagliata,23,171,63,69,77,3,4,68,60,69,74,38,42,66,65,44,71,51,79,69,73,64,69,70,67,80,58,77,47,53,60,34,62,38,29,60,71,59,51,32,45,49,11,8,12,14,10,21.545090797168363,0,0,0,0,0,0,0,0,0,0,0,0,0,Alta
J. Schöppner,23,190,78,69,77,3,2,66,57,63,62,66,79,60,57,68,68,33,59,44,43,66,69,62,69,57,64,50,66,61,90,78,60,70,66,58,66,40,65,66,67,60,12,6,13,9,7,21.606648199445985,0,1,0,0,0,0,0,0,0,0,0,0,0,Alta
O. Albornoz,26,182,72,69,70,3,3,78,60,62,69,51,72,66,66,58,65,37,72,52,50,60,67,74,81,71,66,60,59,80,83,73,50,52,44,64,62,59,58,43,58,59,7,13,15,10,14,21.736505252988767,0,0,0,0,0,1,0,0,0,0,0,0,0,Alta
A. Gogia,30,178,73,69,69,4,4,70,67,65,75,28,59,65,65,41,67,67,75,76,65,56,73,74,66,83,65,86,70,73,66,59,68,46,28,66,63,60,66,31,22,23,10,9,12,11,16,23.04002019946976,0,0,0,0,0,0,0,0,0,1,0,0,0,Alta
D. Velkovski,27,188,83,69,71,5,2,56,35,63,51,69,74,48,29,68,70,30,45,59,42,73,57,59,53,48,66,53,51,73,68,79,35,67,67,35,65,31,64,70,70,68,9,9,14,8,5,23.48347668628339,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
F. Kudryashov,35,181,81,69,69,3,2,70,45,60,63,69,75,61,41,63,63,51,61,47,41,62,64,66,73,67,68,63,43,73,77,75,56,75,65,45,58,46,69,74,70,68,16,11,11,12,8,24.724520008546747,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
D. Sorescu,24,176,72,69,72,3,3,86,67,64,68,60,72,62,66,55,65,59,66,69,67,62,67,86,86,82,64,80,73,73,88,64,69,72,61,63,62,51,62,60,62,59,6,10,10,6,8,23.243801652892564,0,0,0,0,0,0,0,0,0,1,0,0,0,Alta
P. Lima,31,181,76,69,69,3,2,60,49,66,59,61,72,48,48,49,76,33,54,36,57,71,65,66,55,59,70,61,56,70,80,71,42,64,63,55,70,65,55,67,59,57,6,5,14,15,5,23.198315069747565,0,1,0,0,0,0,0,0,0,0,0,0,0,Alta
A. Bajic,26,183,70,69,69,3,2,86,65,63,65,50,68,66,67,47,63,58,66,59,60,61,62,85,86,75,62,68,65,60,78,63,62,68,55,64,65,62,62,52,48,46,11,13,14,13,7,20.902385858042937,0,0,0,0,0,0,0,0,0,1,0,0,0,Alta
R. Ruiz Rodríguez,22,185,75,69,79,2,3,75,67,65,69,36,66,65,68,64,68,58,70,54,50,61,72,73,76,64,67,64,66,65,70,75,67,41,32,69,67,66,66,34,31,34,8,12,12,15,14,21.91380569758948,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
J. Méndez,27,185,84,69,69,3,2,68,59,65,70,66,75,59,53,55,69,49,68,59,45,63,72,68,68,70,71,67,69,55,80,71,65,83,65,71,71,49,73,65,69,69,13,8,5,9,9,24.543462381300216,0,0,0,1,0,0,0,0,0,0,0,0,0,Alta
C. Lang,23,180,70,69,75,3,3,82,65,60,69,38,69,65,68,60,60,54,70,46,57,55,66,83,81,79,62,75,66,72,79,61,62,78,38,68,61,58,64,27,44,30,15,11,7,13,6,21.604938271604937,0,0,0,0,0,0,0,0,0,1,0,0,0,Alta
A. Reyes,22,191,81,69,78,3,2,76,33,40,47,68,80,29,29,66,56,29,38,31,29,39,46,70,80,68,67,70,44,84,75,83,34,77,67,30,29,36,55,68,71,65,12,5,9,15,8,22.20333872426743,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
F. Pogba,31,192,93,69,69,3,2,59,41,58,56,67,82,64,21,66,63,45,53,60,61,61,57,50,66,63,58,44,68,78,75,88,59,76,66,36,42,38,68,67,66,68,8,10,8,11,11,25.227864583333336,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
A. Parmak,27,176,70,69,72,3,3,75,65,68,70,68,68,66,55,63,70,70,68,78,70,69,69,75,75,80,66,78,80,44,75,68,73,65,67,63,65,67,69,68,69,67,10,8,6,9,11,22.59814049586777,0,1,0,0,0,0,0,0,0,0,0,0,0,Alta
F. Domínguez,24,177,69,69,75,2,3,83,54,62,70,58,66,69,52,54,65,44,72,48,47,63,68,82,84,78,61,72,63,64,86,58,51,62,63,62,58,48,50,54,59,57,10,9,11,14,9,22.024322512687924,0,0,0,0,0,0,0,0,0,1,0,0,0,Alta
B. Vătăjelu,29,171,70,69,69,3,3,84,62,66,70,64,68,68,54,58,65,59,67,68,67,67,67,82,86,84,67,89,74,90,69,65,71,69,64,61,63,52,69,64,65,63,6,13,12,10,11,23.938989774631512,0,0,0,0,0,0,0,0,1,0,0,0,0,Alta
I. Boura,21,173,68,69,76,2,3,74,47,57,72,63,65,68,48,50,59,37,72,43,30,50,71,77,72,73,66,81,46,69,69,62,46,67,62,60,57,38,65,60,69,68,14,14,13,14,9,22.72043837081092,0,0,0,0,0,0,0,1,0,0,0,0,0,Alta
Lucas Taylor,27,176,69,69,69,2,3,83,62,62,69,63,65,70,68,59,66,39,71,46,36,59,67,82,84,76,66,70,70,64,70,60,49,70,57,64,59,56,59,59,70,65,5,6,13,7,6,22.27530991735537,0,0,0,0,0,0,0,0,1,0,0,0,0,Alta
Alexandre Penetra,20,186,79,69,80,2,2,65,29,46,45,70,70,29,20,70,59,21,39,32,28,55,48,62,68,43,67,59,42,72,69,71,37,66,70,24,40,41,49,69,72,71,7,14,9,14,10,22.835009827725745,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
Iván Azón,19,182,78,69,81,2,2,67,68,53,63,37,82,35,72,75,68,64,64,36,44,46,65,65,69,53,59,74,68,74,83,87,62,72,32,67,56,66,58,34,35,28,6,8,14,13,12,23.54788069073783,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
S. Ambrosius,23,182,80,69,75,2,2,70,30,45,52,68,75,30,25,66,61,29,43,30,28,56,56,69,71,71,53,64,48,89,59,80,23,78,67,30,32,38,56,66,71,66,15,15,6,8,6,24.151672503320853,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
J. Gélin,25,183,79,69,74,3,2,45,36,66,61,70,65,60,30,68,73,30,58,52,33,70,66,42,47,50,64,59,52,73,58,68,35,65,72,26,67,48,71,67,72,70,8,11,7,12,14,23.589835468362743,0,1,0,0,0,0,0,0,0,0,0,0,0,Alta
B. Omrani,28,187,92,69,69,3,3,69,66,67,68,33,81,71,67,70,69,54,70,56,67,61,69,69,69,67,67,51,70,62,76,88,64,75,34,68,67,68,65,36,22,20,10,14,14,7,8,26.309016557522373,0,0,0,0,0,0,0,0,0,0,1,0,0,Alta
B. Berríos,24,168,67,69,76,3,2,69,51,65,70,68,71,54,48,40,77,43,67,47,44,65,69,70,69,80,69,87,56,76,87,64,54,66,72,54,67,48,68,69,72,68,13,8,10,8,8,23.73866213151928,0,1,0,0,0,0,0,0,0,0,0,0,0,Alta
J. Bachmann,26,196,84,69,70,2,2,61,55,58,57,67,82,49,59,73,67,51,56,48,29,59,66,53,67,34,67,44,63,73,82,85,42,77,63,63,60,39,65,64,72,66,7,8,13,13,12,21.86588921282799,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
G. Sio,33,181,80,69,69,4,3,71,70,67,70,29,72,62,68,70,70,73,69,73,69,63,72,70,72,74,65,70,73,69,62,76,72,73,18,69,67,68,70,40,18,12,15,9,10,15,16,24.41927902078691,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
C. Ogbene,25,181,75,69,74,4,3,91,58,62,70,56,73,64,60,52,64,55,72,56,57,55,68,92,91,77,66,65,58,69,82,72,56,65,56,64,63,50,61,57,57,57,11,5,11,12,14,22.89307408198773,0,0,0,0,0,0,0,0,0,1,0,0,0,Alta
J. Concha,23,175,69,69,77,3,4,72,68,66,69,45,64,55,67,48,69,54,68,60,66,65,71,69,74,72,67,68,71,66,70,65,72,55,39,67,72,67,60,43,49,45,14,6,13,14,11,22.53061224489796,0,0,0,0,0,0,0,0,0,0,0,0,0,Alta
B. Kutlu,24,186,75,69,74,2,2,75,61,60,66,68,72,46,58,51,68,45,66,41,47,71,69,74,75,61,73,61,67,61,91,64,66,73,69,63,62,52,58,69,72,71,15,8,10,9,6,21.678806798473808,0,1,0,0,0,0,0,0,0,0,0,0,0,Alta
J. Leiva,28,180,82,69,69,3,2,72,61,69,70,49,70,60,63,42,74,46,69,66,51,70,74,68,75,72,60,65,64,60,80,73,57,53,53,68,72,55,60,48,50,52,14,10,9,5,9,25.30864197530864,0,0,0,0,0,0,0,0,0,0,0,0,0,Alta
D. Wouters,25,191,81,69,74,2,2,47,37,58,60,68,75,31,24,66,69,24,60,48,62,65,65,49,45,43,67,51,58,41,76,80,55,72,69,25,64,25,69,67,69,65,10,10,15,8,15,22.20333872426743,0,1,0,0,0,0,0,0,0,0,0,0,0,Alta
J. Gyamerah,27,184,79,69,70,3,3,71,44,60,68,67,67,62,40,59,67,26,66,61,34,58,69,79,65,70,66,75,42,68,67,71,58,55,66,57,51,45,74,68,69,65,13,12,15,12,11,23.334120982986768,0,0,0,0,0,0,0,0,1,0,0,0,0,Alta
V. Parigini,26,180,70,69,70,3,3,75,66,60,74,32,59,63,69,56,65,65,73,61,47,51,75,74,75,81,67,71,65,81,75,54,62,47,48,68,58,54,73,29,18,24,12,11,6,10,6,21.604938271604937,0,0,0,0,0,1,0,0,0,0,0,0,0,Alta
F. Fagúndez,21,187,82,69,80,3,2,73,70,65,68,26,61,63,70,68,69,66,70,73,55,63,68,74,72,68,61,66,71,62,66,70,73,33,30,69,60,63,63,16,22,20,12,10,6,11,13,23.449340844748203,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
W. Gnonto,18,170,71,69,85,3,3,86,66,61,76,31,64,53,66,62,68,54,77,52,46,64,73,88,85,86,65,78,70,64,65,67,64,53,25,64,59,63,67,37,21,19,11,9,10,10,13,24.56747404844291,0,0,0,0,0,0,0,0,0,0,0,0,0,Alta
A. Salazar,27,180,75,69,69,2,2,72,56,61,69,63,67,68,55,65,63,49,69,69,47,66,65,73,72,82,72,64,57,91,90,61,58,49,68,59,49,59,60,63,59,60,14,7,9,10,7,23.148148148148145,0,0,0,0,0,0,0,0,1,0,0,0,0,Alta
S. Bueno,23,190,76,69,77,3,2,50,31,46,50,69,75,30,20,69,62,20,40,30,35,55,60,51,49,45,64,50,56,73,74,77,30,70,67,30,35,40,67,70,70,68,5,8,9,13,10,21.05263157894737,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
D. Genreau,23,175,75,69,78,3,3,67,59,67,66,64,68,61,59,39,74,42,65,53,41,65,68,70,64,64,67,70,67,59,78,62,57,73,66,69,70,45,68,64,70,65,10,14,6,10,10,24.489795918367346,0,0,0,1,0,0,0,0,0,0,0,0,0,Alta
Sandro Maceira,30,178,74,69,69,3,3,70,65,71,70,46,63,70,65,56,72,63,70,66,62,75,68,69,70,74,69,70,67,76,69,66,59,45,59,70,71,74,73,29,50,46,9,15,8,9,11,23.355636914530997,0,0,0,0,0,0,0,0,0,1,0,0,0,Alta
A. Chávez,31,185,97,69,69,2,3,69,72,63,67,36,79,66,70,68,59,70,68,65,66,54,64,67,71,63,69,66,77,90,72,81,75,78,48,67,73,68,76,25,30,28,14,14,6,12,10,28.341855368882392,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
H. Smolčić,21,185,80,69,80,3,2,68,28,45,58,69,70,35,24,68,60,30,55,32,35,44,56,66,69,68,67,65,41,74,66,73,22,66,66,25,35,34,63,68,73,71,7,11,7,8,12,23.37472607742878,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
Diogildo Peixe,22,181,71,69,69,4,3,72,65,65,75,25,58,71,61,61,67,72,77,45,55,56,71,71,72,83,66,81,71,54,62,61,67,45,34,61,71,66,62,10,24,23,10,12,7,10,7,21.672110130948383,0,0,0,0,0,0,0,0,0,0,1,0,0,Alta
R. Wintle,25,180,64,69,73,3,2,69,55,66,65,64,70,57,54,54,70,46,62,61,63,69,66,68,69,74,66,72,56,82,85,65,59,63,67,56,67,52,66,67,64,63,7,16,8,13,10,19.753086419753085,0,1,0,0,0,0,0,0,0,0,0,0,0,Alta
Zhou Dingyang,28,180,72,69,69,3,3,68,64,66,69,71,75,68,61,67,66,51,65,58,50,69,71,65,70,75,68,73,69,82,81,72,67,72,69,68,68,66,68,74,71,68,12,8,8,13,14,22.22222222222222,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
N. Estévez,26,181,77,69,71,3,3,65,65,71,70,62,66,73,67,57,73,62,70,70,75,70,72,66,65,71,66,66,65,72,75,57,62,74,62,65,65,64,68,59,65,62,14,12,9,12,10,23.503556057507403,0,0,0,1,0,0,0,0,0,0,0,0,0,Alta
Fali Candé,24,184,77,69,76,2,2,84,50,60,65,63,73,67,38,61,60,40,65,69,71,58,63,82,86,70,64,61,68,79,80,70,59,69,61,57,51,44,63,64,65,64,9,12,9,13,8,22.743383742911156,0,0,0,0,0,0,0,1,0,0,0,0,0,Alta
L. Taylor,32,188,79,69,69,3,3,71,68,56,68,38,67,53,72,60,59,63,68,48,67,45,70,63,78,64,69,49,66,35,69,75,56,50,31,75,63,79,72,40,35,35,12,16,12,10,10,22.35174287007696,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
A. Nabbout,29,178,83,69,69,3,3,80,67,63,68,44,78,65,66,56,64,56,67,67,52,59,66,78,82,73,61,82,74,78,77,83,67,69,40,68,66,58,68,41,46,44,9,9,11,14,11,26.19618735008206,0,0,0,0,0,0,0,0,0,1,0,0,0,Alta
D. Bernard,21,189,81,69,80,3,2,68,40,52,58,67,79,36,40,66,62,31,57,40,29,63,58,64,71,56,68,51,48,76,77,84,30,69,66,50,52,45,59,67,68,68,8,8,7,14,13,22.67573696145125,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
Adão Salvadaldo,26,174,69,69,72,5,3,72,73,51,75,26,51,66,77,61,55,65,77,51,52,41,71,73,72,87,65,80,66,70,53,52,71,40,30,69,36,77,58,20,17,23,13,15,15,7,8,22.79032897344431,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
A. Bedrane,30,185,82,69,69,2,2,61,30,51,53,69,70,42,24,74,67,17,46,31,28,57,64,57,64,45,64,51,49,73,63,73,25,70,70,35,37,39,62,68,68,71,15,10,11,10,14,23.959094229364496,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
F. Becker,22,177,71,69,80,3,3,71,52,66,75,55,59,53,52,53,75,46,75,53,39,70,73,76,67,82,69,80,58,53,82,51,46,52,45,58,69,49,65,50,64,60,8,12,8,7,8,22.66270867247598,0,0,0,0,0,0,0,0,0,0,0,0,0,Alta
M. Viviani,21,183,74,69,79,3,2,74,56,70,67,64,62,58,49,59,77,50,63,72,61,72,71,71,76,71,66,69,65,65,62,62,61,63,65,56,72,60,61,63,68,60,7,9,9,14,13,22.096807907073963,0,0,0,1,0,0,0,0,0,0,0,0,0,Alta
Marc Cardona,26,183,70,69,70,3,3,74,68,60,69,27,61,57,68,70,67,67,70,60,52,51,70,75,74,71,71,60,68,62,61,65,67,50,24,70,58,63,66,28,17,12,8,13,11,6,8,20.902385858042937,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
C. Akolo,27,172,72,69,69,3,3,81,66,63,72,27,64,65,69,37,66,60,71,67,47,63,67,82,80,90,69,86,73,40,69,66,57,57,26,66,59,53,62,26,27,26,11,14,7,10,7,24.337479718766904,0,0,0,0,0,0,0,0,0,0,1,0,0,Alta
G. Angella,33,193,82,69,69,3,2,33,37,48,50,72,65,30,30,71,58,44,48,32,30,62,56,33,33,34,64,32,60,68,50,70,26,68,75,30,48,44,66,74,71,68,8,12,15,12,13,22.014013799028163,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
L. Czyborra,23,178,72,69,76,3,2,88,48,60,70,61,68,67,32,48,62,30,68,71,70,56,70,89,88,82,64,75,80,62,73,64,57,72,70,58,47,33,64,57,64,62,6,12,9,8,7,22.724403484408533,0,0,0,0,0,0,0,1,0,0,0,0,0,Alta
G. Acampora,28,174,74,69,69,2,3,67,66,66,70,59,75,56,65,41,76,46,69,59,61,69,70,71,64,70,69,77,72,77,83,73,70,71,66,65,59,55,66,49,69,63,13,15,15,13,6,24.441802087462012,0,0,0,1,0,0,0,0,0,0,0,0,0,Alta
Tan Long,34,185,77,69,69,2,4,76,68,61,70,37,74,63,65,67,63,64,72,48,47,58,68,71,80,72,71,63,76,72,71,79,68,64,41,71,65,66,59,37,26,29,15,9,10,8,14,22.4981738495252,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
B. Salvareschi,23,188,84,69,77,3,2,65,28,49,53,69,74,27,28,66,68,26,44,27,29,62,59,62,67,61,68,64,34,75,77,74,22,70,65,26,39,37,60,67,74,66,8,15,12,12,9,23.766410140334997,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
Marquinhos,22,170,71,69,79,4,3,84,67,62,74,27,68,55,63,42,69,67,75,55,47,58,72,83,84,84,50,88,77,66,62,73,67,65,24,68,64,65,69,23,26,30,15,9,14,8,10,24.56747404844291,0,0,0,0,0,0,0,0,0,0,0,0,0,Alta
L. Johnsen,22,179,75,69,76,3,2,67,53,63,67,66,73,54,49,55,70,55,64,58,50,67,68,69,65,77,65,74,64,67,87,70,49,65,67,59,61,50,67,67,67,64,8,8,13,11,13,23.40750912892856,0,1,0,0,0,0,0,0,0,0,0,0,0,Alta
U. Meraş,26,178,73,69,72,3,2,74,42,60,65,65,73,65,34,53,65,39,66,57,38,58,63,72,75,72,62,74,53,72,81,70,43,69,65,60,53,45,54,66,67,65,6,13,7,15,11,23.04002019946976,0,0,0,0,1,0,0,0,0,0,0,0,0,Alta
K. Anderson,27,175,71,69,69,3,3,83,63,62,71,54,59,56,64,59,67,57,72,54,54,60,67,84,83,85,65,81,64,61,77,57,60,43,46,67,65,61,60,54,59,47,7,8,12,6,8,23.18367346938776,0,0,0,0,0,1,0,0,0,0,0,0,0,Alta
R. Métanire,32,178,72,69,69,2,3,74,35,64,66,65,75,67,30,60,70,30,64,48,22,61,68,74,74,72,61,65,43,84,75,75,29,71,62,61,65,52,67,64,67,69,13,14,15,7,14,22.724403484408533,0,0,0,0,0,0,0,0,1,0,0,0,0,Alta
A. Cordea,23,180,75,69,76,3,4,86,63,65,70,36,67,65,63,37,66,45,69,71,62,63,67,84,87,86,61,87,68,63,78,65,64,60,35,65,64,60,66,38,35,32,10,8,13,11,8,23.148148148148145,0,0,0,0,0,1,0,0,0,0,0,0,0,Alta
