Name,Age,Height,Weight,Overall,Potential,BestPosition,WeakFoot,SkillMoves,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,BMI,GK,Clasificación Habilidad
M. Álvarez,33,185,86,70,70,GK,3,1,71,65,65,71,34,73,12,9,11,30,9,18,8,8,22,24,35,33,39,67,39,49,71,30,73,8,45,15,8,47,11,39,13,14,15,71,65,65,73,71,25.127830533235937,1,Alta
Andrew,21,189,76,70,82,GK,2,1,71,69,64,72,45,66,9,4,11,41,14,10,10,8,37,14,47,41,34,66,32,48,40,37,45,12,24,8,4,59,21,34,10,8,17,71,69,64,66,72,21.27600011197895,1,Alta
M. Männel,34,183,80,70,70,GK,3,1,73,69,58,72,49,68,14,12,19,34,20,18,13,12,36,31,52,44,44,62,38,44,76,34,61,15,21,17,9,45,36,47,15,12,12,73,69,58,68,72,23.888440980620494,1,Alta
B. Reynet,31,185,90,70,70,GK,3,1,71,68,70,67,43,71,15,17,14,38,19,18,16,14,36,24,42,45,43,68,28,53,62,35,68,15,37,16,12,35,19,60,13,12,10,71,68,70,71,67,26.29656683710737,1,Alta
A. Micai,28,186,77,70,70,GK,2,1,67,70,64,74,47,64,20,17,13,26,19,17,17,19,27,19,48,46,36,70,57,48,56,17,57,15,16,18,12,35,24,55,17,18,17,67,70,64,64,74,22.25690831309978,1,Alta
R. Salin,37,189,76,70,70,GK,2,1,68,69,68,70,30,69,11,11,16,36,13,14,11,15,23,13,28,34,50,72,45,51,58,38,60,13,42,26,16,57,11,57,20,13,16,68,69,68,69,70,21.27600011197895,1,Alta
C. Rigamonti,35,188,76,70,70,GK,2,1,69,68,67,71,40,71,14,14,17,30,16,16,16,21,21,24,40,41,37,68,48,50,59,29,69,17,23,20,12,34,20,35,13,15,16,69,68,67,71,71,21.50294250792214,1,Alta
M. Jedlička,24,187,83,70,74,GK,2,1,68,69,66,71,35,67,11,6,16,31,6,11,13,14,55,22,33,37,28,68,26,50,44,22,62,8,34,12,9,41,12,38,11,12,13,68,69,66,67,71,23.735308416025617,1,Alta
M. Ibáñez,35,180,75,70,70,GK,2,1,67,69,65,70,39,71,15,8,15,22,12,10,16,10,18,14,38,41,33,69,44,49,57,33,74,11,27,21,13,34,35,43,18,18,17,67,69,65,71,70,23.148148148148145,1,Alta
I. González,32,187,84,70,70,GK,3,1,71,67,59,74,48,68,13,11,17,28,10,14,16,11,26,16,48,48,37,64,48,44,64,41,72,11,45,20,12,18,17,63,19,15,18,71,67,59,68,74,24.021275987303035,1,Alta
G. Falcón,25,190,86,70,75,GK,3,1,69,69,69,70,30,68,16,7,12,34,5,8,13,15,51,10,35,22,31,68,31,52,68,28,61,8,17,10,8,44,15,25,6,16,15,69,69,69,68,70,23.822714681440445,1,Alta
J. Willis,33,196,84,70,70,GK,3,1,71,69,64,70,47,72,13,8,12,34,13,13,14,13,38,15,47,46,52,63,55,48,72,26,71,16,31,24,13,35,22,46,15,12,10,71,69,64,72,70,21.86588921282799,1,Alta
Song Bum Keun,24,194,88,70,78,GK,2,1,70,66,66,72,25,67,12,17,18,14,16,15,11,13,26,19,24,27,31,68,24,50,31,22,40,16,23,11,17,55,15,58,23,13,12,70,66,66,67,72,23.381868423849507,1,Alta
D. Vukovic,37,187,95,70,70,GK,2,1,69,68,63,71,51,70,11,17,16,25,11,11,15,13,12,18,53,47,41,68,58,47,68,32,74,13,41,17,6,36,37,33,23,15,11,69,68,63,70,71,27.166919271354622,1,Alta
M. Aioani,22,186,80,70,78,GK,2,1,70,69,69,71,35,70,13,8,14,28,8,6,14,12,25,14,35,35,37,65,37,52,61,37,48,7,22,14,4,57,15,23,12,13,13,70,69,69,70,71,23.12406058503873,1,Alta
D. Rodríguez,33,184,80,70,70,GK,2,1,70,66,72,73,44,67,19,18,14,32,16,14,25,22,28,20,42,48,48,70,58,54,67,36,60,20,18,22,16,47,70,42,19,17,15,70,66,72,67,73,23.62948960302457,1,Alta
M. Branderhorst,28,192,87,70,72,GK,3,1,71,68,67,71,40,69,17,15,12,26,18,17,13,15,27,27,40,39,37,66,41,50,66,28,65,19,21,10,4,40,23,55,11,15,13,71,68,67,69,71,23.600260416666668,1,Alta
F. Altamirano,26,186,78,70,73,GK,3,1,73,68,63,70,45,65,12,12,18,27,20,15,15,15,27,22,45,45,43,69,32,47,69,39,58,13,31,25,15,42,27,48,28,18,24,73,68,63,65,70,22.54595907041276,1,Alta
O. Marciano,32,193,78,70,70,GK,3,1,72,66,61,73,42,68,12,12,13,27,12,19,17,17,28,20,40,44,62,69,40,46,63,33,76,13,38,16,19,34,25,48,19,11,11,72,66,61,68,73,20.94015946736825,1,Alta
Aarón,26,185,71,70,75,GK,3,1,67,70,67,72,37,67,20,15,24,27,19,19,25,18,31,22,39,34,41,69,56,50,69,45,51,16,22,24,12,39,21,42,30,19,18,67,70,67,67,72,20.74506939371804,1,Alta
A. Mandrea,25,186,78,70,75,GK,2,1,71,64,63,74,44,71,13,17,15,28,16,16,14,20,19,18,41,49,33,63,55,47,51,28,61,14,23,19,15,15,23,51,12,19,21,71,64,63,71,74,22.54595907041276,1,Alta
M. Prévot,25,187,81,70,75,GK,3,1,70,69,68,69,36,69,13,7,11,15,6,6,14,12,22,14,43,26,29,63,46,51,66,27,57,5,18,11,6,50,14,59,15,10,11,70,69,68,69,69,23.163373273470786,1,Alta
M. Ramírez,21,183,73,70,81,GK,2,1,72,65,63,73,33,67,13,8,14,35,6,9,11,12,16,18,35,29,41,69,44,47,60,29,57,7,20,14,8,35,13,35,11,12,12,72,65,63,67,73,21.798202394816204,1,Alta
Kang Hyeon Mu,27,185,78,70,72,GK,3,1,70,68,64,72,44,69,14,16,19,29,12,20,19,19,22,10,42,47,32,63,56,48,51,27,32,13,41,23,15,64,25,50,23,20,15,70,68,64,69,72,22.79035792549306,1,Alta
S. Mele,24,184,79,70,76,GK,2,1,72,65,62,71,41,68,13,5,11,15,9,10,13,12,21,10,51,25,55,73,42,47,63,28,41,6,26,12,6,37,18,31,8,12,11,72,65,62,68,71,23.334120982986768,1,Alta
B. Kamara,25,196,92,70,75,GK,3,1,72,69,63,70,39,70,12,12,20,15,15,19,13,16,15,21,37,41,28,65,42,47,79,32,77,19,17,20,11,26,22,51,8,15,14,72,69,63,70,70,23.94835485214494,1,Alta
J. McLaughlin,34,188,83,70,70,GK,3,1,70,71,70,69,51,68,21,20,14,30,13,16,15,21,38,23,49,54,58,63,63,53,60,37,61,19,41,18,17,46,26,52,24,17,14,70,71,70,68,69,23.48347668628339,1,Alta
L. Lezzerini,27,195,86,70,73,GK,2,1,71,66,63,73,45,69,13,13,12,31,17,14,15,14,22,24,46,44,39,70,38,47,55,32,66,19,24,18,15,25,25,65,19,19,14,71,66,63,69,73,22.616699539776462,1,Alta
M. Vandevoordt,20,192,80,70,84,GK,3,1,73,70,65,73,40,63,11,3,8,25,4,22,10,8,35,27,40,39,46,68,48,49,60,32,60,5,14,11,5,40,15,52,11,10,12,73,70,65,63,73,21.70138888888889,1,Alta
F. Monetti,33,184,76,70,70,GK,3,1,70,67,70,71,56,70,19,19,23,48,19,19,23,13,42,36,56,57,48,67,59,53,70,32,64,15,41,18,15,60,24,31,29,14,24,70,67,70,70,71,22.448015122873343,1,Alta
M. Bettinelli,30,194,82,70,71,GK,3,1,71,68,72,72,30,71,12,14,11,40,12,15,12,19,48,28,34,24,39,60,40,54,60,22,40,14,33,15,6,40,18,52,16,18,17,71,68,72,71,72,21.787650122223404,1,Alta
O. Christensen,23,190,82,70,78,GK,2,1,76,64,63,76,37,63,10,5,9,47,5,16,16,11,44,19,37,38,33,63,34,47,64,42,64,6,32,13,6,65,10,47,14,13,11,76,64,63,63,76,22.71468144044321,1,Alta
L. Kelly,26,184,85,70,75,GK,3,1,71,69,72,70,37,73,13,20,16,34,16,15,22,20,35,25,31,46,53,55,45,54,48,32,37,20,31,24,15,25,13,38,15,14,13,71,69,72,73,70,25.10633270321361,1,Alta
J. Pollersbeck,27,195,87,70,73,GK,3,1,71,66,70,71,37,70,20,12,12,52,17,14,18,19,44,19,36,39,22,68,24,53,51,22,63,14,20,10,6,58,22,24,13,14,15,71,66,70,70,71,22.87968441814596,1,Alta
D. Sánchez,35,184,91,70,70,GK,3,1,71,68,69,70,49,66,14,20,18,43,20,22,16,24,31,18,53,43,50,67,62,52,60,44,60,13,21,21,12,45,22,59,24,24,18,71,68,69,66,70,26.87854442344045,1,Alta
C. Toselli,34,183,75,70,70,GK,3,1,69,68,70,70,51,71,20,20,17,41,20,16,18,19,32,33,56,43,45,69,40,53,76,44,70,20,45,30,20,55,20,58,20,19,14,69,68,70,71,70,22.39541341933172,1,Alta
A. Werner,26,191,85,70,75,GK,2,1,74,72,75,70,45,68,14,19,15,25,12,13,20,15,19,23,44,46,34,55,43,56,58,38,75,18,24,27,16,50,23,52,15,13,17,74,72,75,68,70,23.299799895836188,1,Alta
Kim Seung Gyu,31,187,78,70,70,GK,2,1,71,65,67,73,36,71,14,12,11,45,14,13,16,12,25,25,36,36,38,66,58,50,68,35,47,20,27,25,16,59,12,60,15,18,12,71,65,67,71,73,22.305470559638533,1,Alta
K. Johnsson,32,189,84,70,70,GK,2,1,71,69,67,71,43,68,15,12,20,40,18,16,15,16,42,21,42,45,43,65,40,50,57,33,65,14,32,18,14,49,20,45,22,18,16,71,69,67,68,71,23.515579071134628,1,Alta
M. Birighitti,31,189,84,69,69,GK,4,1,71,66,64,71,48,69,12,9,11,29,15,13,12,11,17,16,46,50,66,57,41,48,66,32,62,12,40,23,9,33,14,63,12,14,14,71,66,64,69,71,23.515579071134628,1,Alta
W. Yarbrough,33,188,75,69,69,GK,3,1,69,64,70,68,58,70,12,17,14,32,15,18,14,12,35,21,59,56,40,67,46,53,75,34,75,16,29,12,16,52,22,48,25,15,14,69,64,70,70,68,21.22000905387053,1,Alta
A. Racioppi,23,188,84,69,74,GK,2,1,68,63,62,73,30,69,12,7,12,19,5,7,10,14,24,15,31,28,39,71,31,47,46,20,49,6,24,9,6,32,19,43,11,14,12,68,63,62,69,73,23.766410140334997,1,Alta
Raúl Fernández,34,195,92,69,69,GK,2,1,66,66,60,71,40,72,23,13,13,29,13,16,24,14,26,14,36,47,40,63,49,45,65,32,79,12,21,21,11,45,24,54,18,11,11,66,66,60,72,71,24.194608809993422,1,Alta
B. Stuver,31,191,81,69,69,GK,1,1,69,70,66,69,47,67,13,17,17,24,19,16,13,16,18,18,49,44,48,62,50,50,55,42,75,15,15,17,13,17,25,24,15,17,16,69,70,66,67,69,22.20333872426743,1,Alta
M. Svilar,22,189,83,69,79,GK,3,1,72,65,63,71,58,66,18,14,22,37,16,19,23,22,32,22,60,55,66,70,54,47,71,32,61,18,28,13,9,48,37,41,12,21,18,72,65,63,66,71,23.23563170124017,1,Alta
Dani Martín,23,187,77,69,77,GK,3,1,69,69,68,71,47,67,15,13,13,34,14,12,16,13,36,19,48,46,55,63,43,51,64,30,66,11,23,20,9,44,20,48,12,14,12,69,69,68,67,71,22.019502988361115,1,Alta
A. Vural,31,187,68,69,69,GK,2,1,70,66,61,74,46,69,17,20,21,31,18,16,17,16,18,22,47,44,31,56,52,46,70,26,65,20,27,25,13,44,25,56,15,15,17,70,66,61,69,74,19.445794846864363,1,Alta
B. Maubleu,32,192,83,69,69,GK,3,1,66,67,65,69,40,69,12,13,13,36,15,19,16,12,35,14,40,39,31,67,33,49,65,25,62,17,23,18,12,47,26,44,13,8,9,66,67,65,69,69,22.51519097222222,1,Alta
E. Centurión,25,184,79,69,72,GK,2,1,72,66,65,69,49,69,11,7,12,34,16,24,20,14,24,21,52,45,45,66,40,49,72,36,69,6,33,11,7,35,18,43,10,11,17,72,66,65,69,69,23.334120982986768,1,Alta
A. Desmas,28,196,87,69,70,GK,2,1,71,69,69,70,36,66,18,18,12,23,14,15,16,10,20,19,37,35,26,62,37,52,32,24,60,17,20,14,9,41,18,31,14,17,11,71,69,69,66,70,22.646813827571847,1,Alta
J. Moulin,36,184,80,69,69,GK,2,1,68,70,65,68,51,72,15,14,15,32,14,13,14,11,35,23,50,52,48,62,56,49,42,32,54,14,20,16,11,29,23,59,14,13,14,68,70,65,72,68,23.62948960302457,1,Alta
V. Myhra,25,194,94,69,74,GK,3,1,69,66,62,72,45,68,21,14,15,30,17,17,20,13,23,25,48,40,30,62,51,47,51,33,65,20,38,25,17,50,24,43,15,19,14,69,66,62,68,72,24.97608672547561,1,Alta
Kaíque Mutto,30,191,82,69,69,GK,3,1,79,55,66,83,43,55,8,9,8,18,8,9,9,12,17,21,44,41,52,69,37,50,71,31,67,7,45,44,5,55,22,52,17,8,9,79,55,66,55,83,22.47745401715962,1,Alta
M. Ilić,24,191,81,69,76,GK,2,1,72,67,59,72,38,66,11,9,11,17,8,15,13,14,24,14,38,39,36,67,28,44,63,32,71,7,29,13,7,45,19,47,12,12,14,72,67,59,66,72,22.20333872426743,1,Alta
L. Thomas,30,191,91,69,69,GK,2,1,70,68,71,68,35,67,14,14,12,38,20,18,19,15,41,22,32,39,52,69,34,53,78,32,70,13,32,12,14,52,15,52,16,20,18,70,68,71,67,68,24.94449165318933,1,Alta
N. Etheridge,32,191,95,69,69,GK,2,1,69,62,60,70,47,70,11,13,11,31,11,21,18,18,33,32,46,48,54,69,58,45,47,34,76,11,16,24,18,48,43,60,12,14,13,69,62,60,70,70,26.040952824758094,1,Alta
Nicolas,34,190,85,69,69,GK,5,1,71,69,64,71,43,67,13,18,12,31,7,12,8,13,31,22,45,41,37,58,45,48,51,32,77,12,27,15,12,47,21,63,8,19,13,71,69,64,67,71,23.545706371191137,1,Alta
L. Zidane,24,183,78,69,76,GK,3,1,71,65,64,70,37,69,12,8,12,22,6,10,14,11,15,14,29,50,40,64,49,48,67,38,50,5,16,14,5,52,19,33,13,11,13,71,65,64,69,70,23.291229956104985,1,Alta
D. Phillips,27,188,89,69,71,GK,3,1,70,65,62,70,46,68,19,15,12,32,19,21,19,20,18,27,48,43,30,67,54,47,51,38,58,18,19,14,6,20,27,46,24,20,16,70,65,62,68,70,25.18107741059303,1,Alta
G. Coucke,23,187,83,69,75,GK,3,1,70,68,67,69,39,65,8,6,13,34,8,13,12,11,38,18,40,37,46,65,34,50,62,31,58,4,24,10,5,41,15,32,15,11,14,70,68,67,65,69,23.735308416025617,1,Alta
B. Özer,22,190,73,69,80,GK,3,1,68,68,68,73,24,66,15,11,10,33,19,12,24,11,34,19,24,25,31,63,28,51,34,28,61,12,29,15,11,38,18,60,18,19,24,68,68,68,66,73,20.221606648199447,1,Alta
S. Bossut,36,187,80,69,69,GK,3,1,67,70,63,68,44,73,12,13,12,36,11,11,11,15,38,32,42,47,47,63,42,47,65,32,60,16,27,17,16,49,17,47,22,14,13,67,70,63,73,68,22.877405702193368,1,Alta
F. Kastenmeier,25,192,85,69,73,GK,3,1,69,64,67,70,26,67,10,6,14,15,5,12,14,14,19,18,26,25,21,69,28,50,57,25,68,9,16,20,8,42,12,32,12,10,13,69,64,67,67,70,23.057725694444446,1,Alta
V. Vorel,26,190,74,69,74,GK,3,1,71,67,70,72,35,68,12,7,14,24,6,5,12,13,16,15,37,32,41,55,27,53,58,16,25,8,22,8,7,22,10,33,16,11,14,71,67,70,68,72,20.498614958448755,1,Alta
M. Al Owais,30,185,75,69,69,GK,2,1,74,64,55,72,46,66,14,20,20,27,12,14,16,16,26,17,44,49,37,66,61,41,74,35,62,12,17,24,10,55,19,57,13,20,13,74,64,55,66,72,21.91380569758948,1,Alta
O. Djoco,24,188,90,69,72,GK,2,1,71,67,70,71,27,64,12,10,14,21,7,14,15,16,20,16,30,22,21,62,23,53,55,29,67,8,21,9,4,33,29,32,12,12,11,71,67,70,64,71,25.46401086464464,1,Alta
Z. Clark,30,193,80,69,69,GK,2,1,69,65,71,73,31,72,10,16,25,30,12,12,11,12,19,24,31,31,60,55,51,53,50,24,66,13,37,19,13,60,24,55,15,14,12,69,65,71,72,73,21.47708663319821,1,Alta
Kim Young Kwang,39,183,87,69,69,GK,3,1,66,73,65,67,58,70,13,15,15,39,16,11,18,13,36,16,56,61,27,65,51,49,67,30,63,15,33,26,11,41,23,63,17,13,17,66,73,65,70,67,25.97867956642479,1,Alta
Raúl Lizoain,31,188,80,69,69,GK,2,1,67,69,63,67,50,69,11,12,15,15,14,12,13,16,22,15,47,55,67,67,58,47,70,42,52,12,24,20,14,44,24,53,14,14,13,67,69,63,69,67,22.634676324128566,1,Alta
J. Fejzić,36,198,95,69,69,GK,2,1,70,63,52,74,23,70,11,11,13,23,8,15,12,15,16,24,18,30,25,62,20,39,49,27,75,9,34,14,8,32,20,13,12,13,14,70,63,52,70,74,24.23222120191817,1,Alta
D. Jensen,30,195,92,69,69,GK,3,1,66,65,63,69,42,74,12,13,18,23,13,14,15,15,26,22,48,34,38,64,57,47,58,37,79,17,36,19,15,51,11,55,12,14,18,66,65,63,74,69,24.194608809993422,1,Alta
Jhonatan,31,189,82,69,69,GK,2,1,72,68,69,72,33,65,18,12,14,23,12,12,12,15,21,15,31,35,34,62,50,52,60,34,62,16,22,25,10,61,11,30,13,17,12,72,68,69,65,72,22.955684331345708,1,Alta
J. Frick,29,192,90,69,71,GK,2,1,68,67,68,70,44,67,20,4,13,33,8,13,12,8,29,27,42,48,42,67,43,51,60,28,71,9,26,19,9,11,15,36,11,19,14,68,67,68,67,70,24.4140625,1,Alta
C. Walton,26,195,72,69,72,GK,2,1,70,69,65,70,35,67,13,17,15,45,18,19,11,11,44,22,37,33,32,65,29,49,51,28,52,14,20,11,7,49,23,42,8,11,14,70,69,65,67,70,18.93491124260355,1,Alta
M. Diaw,29,197,98,69,70,GK,2,1,71,69,67,73,43,67,17,19,22,31,16,19,18,19,23,24,44,42,33,54,36,50,65,31,72,17,29,18,13,37,29,33,22,19,18,71,69,67,67,73,25.25187456517818,1,Alta
O. Sail,26,194,80,69,74,GK,2,1,74,68,53,70,49,65,16,18,11,27,16,20,18,12,31,27,49,49,51,68,49,40,69,45,66,11,30,19,11,33,21,39,12,13,13,74,68,53,65,70,21.25624402168137,1,Alta
M. Raab,23,187,82,69,78,GK,3,1,70,70,68,69,25,70,11,5,10,32,8,12,14,13,23,24,30,18,24,58,34,51,47,23,45,8,27,9,7,33,17,39,6,12,11,70,70,68,70,69,23.449340844748203,1,Alta
N. Mantl,22,193,88,69,75,GK,3,1,70,69,66,71,33,67,12,8,15,18,7,13,14,11,18,9,36,29,34,55,42,50,56,33,69,6,18,18,4,30,15,35,7,11,13,70,69,66,67,71,23.624795296518027,1,Alta
R. Riou,34,189,81,69,69,GK,1,1,69,66,65,68,48,70,14,11,12,48,13,12,13,15,34,23,45,53,39,69,51,49,61,32,75,13,29,28,18,42,23,48,14,13,12,69,66,65,70,68,22.67573696145125,1,Alta
Y. Fofana,21,194,89,69,80,GK,3,1,70,66,65,70,41,66,11,5,14,15,6,7,11,10,24,12,40,43,35,65,29,49,58,26,77,6,25,10,4,30,11,22,11,11,14,70,66,65,66,70,23.647571474120525,1,Alta
O. Kocuk,26,188,78,69,72,GK,2,1,71,68,62,73,33,66,11,10,10,31,10,10,10,13,16,11,31,36,44,59,30,47,51,23,55,10,15,12,11,30,23,44,5,10,11,71,68,62,66,73,22.068809416025356,1,Alta
T. Wellenreuther,26,188,80,69,72,GK,4,1,70,67,65,71,53,66,9,9,18,32,10,16,12,14,27,27,52,54,45,68,54,49,75,31,67,11,19,23,20,35,23,52,10,11,9,70,67,65,66,71,22.634676324128566,1,Alta
Luciano Cacheira,26,181,75,69,69,GK,2,1,76,62,77,76,31,55,13,9,17,16,20,13,20,12,11,14,29,33,49,66,50,58,64,22,38,15,33,8,11,48,18,49,24,18,17,76,62,77,55,76,22.89307408198773,1,Alta
B. Collins,25,184,69,69,74,GK,2,1,69,65,67,69,43,67,20,15,21,47,19,20,19,12,43,27,41,45,33,69,63,50,55,25,51,16,20,20,11,39,25,46,11,19,17,69,65,67,67,69,20.380434782608692,1,Alta
A. Baroja,32,185,80,69,69,GK,3,1,71,65,60,72,42,64,13,13,15,26,18,19,13,14,32,21,42,42,32,71,57,45,55,44,66,12,19,22,19,65,25,33,18,15,19,71,65,60,64,72,23.37472607742878,1,Alta
D. Schmidt,30,196,90,69,69,GK,4,1,71,66,70,73,17,65,13,7,10,27,9,12,10,10,23,22,19,15,29,60,24,53,39,37,67,7,28,8,6,40,16,33,9,14,14,71,66,70,65,73,23.427738442315704,1,Alta
Peter Torreiro,30,185,84,69,69,GK,1,1,75,66,65,72,42,64,12,11,20,20,8,16,16,12,18,15,40,46,45,60,52,49,67,38,68,18,37,12,9,46,25,54,14,9,12,75,66,65,64,72,24.543462381300216,1,Alta
M. Michel,30,189,84,69,69,GK,2,1,70,67,66,72,49,63,15,12,19,24,18,12,20,12,26,14,50,48,30,68,59,50,63,35,63,14,17,17,17,20,14,53,13,12,16,70,67,66,63,72,23.515579071134628,1,Alta
M. Gagliardo,39,179,83,69,69,GK,3,1,69,66,58,71,36,69,13,9,21,28,7,13,25,11,21,21,37,35,51,68,47,44,71,33,59,7,35,20,6,45,31,41,21,19,21,69,66,58,69,71,25.90431010268094,1,Alta
H. Verhulst,29,193,92,69,71,GK,3,1,68,66,72,71,48,67,14,11,15,29,15,17,9,15,40,28,45,52,45,64,61,54,63,45,66,17,22,17,13,17,36,38,14,18,14,68,66,72,67,71,24.69864962817794,1,Alta
Caio Padricio,30,186,79,69,69,GK,2,1,69,71,46,73,24,70,21,17,18,20,15,18,15,21,13,16,22,26,39,60,20,35,55,39,41,20,36,13,11,45,16,34,13,15,20,69,71,46,70,73,22.835009827725745,1,Alta
Á. Campos,29,182,82,69,71,GK,2,1,65,67,64,70,36,68,11,15,11,22,10,13,14,13,33,21,33,40,53,74,28,48,60,28,66,13,23,26,18,46,20,41,14,11,14,65,67,64,68,70,24.755464315903875,1,Alta
W. Falcone,27,195,85,69,71,GK,2,1,70,71,66,75,27,67,17,19,13,25,13,13,16,12,26,20,26,28,33,51,34,50,43,28,62,20,15,8,5,35,29,44,6,11,16,70,71,66,67,75,22.35371466140697,1,Alta
N. Marsman,31,188,88,69,69,GK,3,1,70,62,69,71,43,70,19,13,11,46,16,11,19,20,22,23,41,46,41,65,38,52,61,30,70,11,28,12,10,58,24,50,15,17,19,70,62,69,70,71,24.898143956541425,1,Alta
Yang Han Been,30,195,90,69,69,GK,3,1,70,63,60,73,43,69,13,10,13,46,9,14,11,14,48,25,43,44,34,67,55,45,60,35,68,14,12,26,14,36,19,42,15,13,19,70,63,60,69,73,23.66863905325444,1,Alta
M. Paes,24,191,82,69,75,GK,3,1,69,65,67,70,31,66,13,10,13,22,9,14,12,10,28,22,31,32,35,68,32,50,58,34,60,8,19,12,11,35,10,33,12,12,14,69,65,67,66,70,22.47745401715962,1,Alta
Ž. Živković,33,194,87,69,69,GK,2,1,69,65,67,71,29,70,10,8,10,17,7,14,13,13,27,19,30,28,53,64,26,50,58,25,70,8,35,7,5,26,15,54,6,11,10,69,65,67,70,71,23.11616537357849,1,Alta
N. Baumann,26,192,83,69,73,GK,2,1,70,68,64,69,28,69,13,9,13,19,5,12,12,12,21,25,33,21,39,62,32,48,61,24,70,6,22,12,5,50,11,57,30,11,11,70,68,64,69,69,22.51519097222222,1,Alta
T. Rönning,23,201,88,69,75,GK,3,1,68,70,67,70,17,69,15,10,10,45,20,12,32,11,47,16,15,21,29,58,44,50,42,45,59,18,27,10,9,45,12,36,16,10,11,68,70,67,69,70,21.7816390683399,1,Alta
J. Young,36,180,83,69,69,GK,2,1,68,67,64,70,48,66,16,15,15,30,14,14,15,15,34,22,50,44,45,74,37,48,64,38,73,15,43,21,12,60,20,48,17,19,11,68,67,64,66,70,25.61728395061728,1,Alta
R. Macagno,25,185,77,69,74,GK,2,1,70,67,60,69,30,68,10,9,10,21,7,5,10,12,17,12,29,32,34,64,44,45,59,23,49,7,23,15,6,52,13,24,25,14,11,70,67,60,68,69,22.4981738495252,1,Alta
A. Vidal,27,192,88,69,71,GK,2,1,68,70,70,67,24,68,11,7,13,26,8,5,12,12,22,19,27,19,29,66,27,53,34,21,58,9,26,9,5,37,18,27,7,10,14,68,70,70,68,67,23.87152777777778,1,Alta
R. Gurtner,35,182,82,69,69,GK,2,1,66,67,68,68,42,69,10,9,10,29,10,10,9,10,30,28,39,46,32,74,32,51,68,38,68,8,35,13,6,28,24,59,10,12,13,66,67,68,69,68,24.755464315903875,1,Alta
Ž. Frelih,24,197,82,69,77,GK,3,1,68,69,64,71,30,71,10,20,12,16,19,21,12,14,22,22,32,26,33,60,29,48,33,23,58,12,20,12,15,37,30,28,17,14,10,68,69,64,71,71,21.12911953412868,1,Alta
Dani Barrio,35,190,78,69,69,GK,3,1,69,68,65,71,48,67,14,11,17,30,14,17,18,19,17,22,49,47,51,66,52,49,69,42,74,13,31,22,20,30,22,29,28,18,17,69,68,65,67,71,21.606648199445985,1,Alta
R. Descamps,26,196,82,69,71,GK,3,1,73,65,63,71,43,70,10,9,14,21,6,9,13,12,16,11,45,39,29,61,24,47,32,20,63,6,22,8,7,23,12,49,9,11,10,73,65,63,70,71,21.345272802998757,1,Alta
B. Siegrist,30,194,85,69,69,GK,3,1,69,67,63,70,37,70,11,11,12,17,12,12,16,12,22,20,40,33,32,67,30,47,63,40,69,12,38,27,13,50,32,39,20,12,12,69,67,63,70,70,22.58475927303645,1,Alta
R. Allsop,30,189,80,69,69,GK,3,1,67,68,71,69,42,68,15,11,13,48,15,12,14,12,53,26,42,42,48,64,44,53,50,37,58,15,28,23,10,53,27,40,17,11,11,67,68,71,68,69,22.395789591556788,1,Alta
P. Kühn,29,189,94,69,69,GK,3,1,69,63,63,75,50,72,12,15,16,23,16,18,19,16,24,24,48,54,37,60,54,47,69,43,80,17,28,11,11,42,21,48,8,17,16,69,63,63,72,75,26.315052770079227,1,Alta
P. Bråtveit,26,187,72,69,73,GK,3,1,67,65,72,69,45,69,15,15,15,31,17,15,13,18,29,15,45,46,39,69,57,54,59,38,55,15,19,23,20,39,15,50,8,17,13,67,65,72,69,69,20.58966513197403,1,Alta
V. Fiorillo,32,190,79,69,69,GK,2,1,70,64,61,72,38,67,8,15,9,28,7,14,9,4,25,19,36,42,55,67,35,46,71,31,61,6,11,16,10,48,22,62,20,10,10,70,64,61,67,72,21.88365650969529,1,Alta
Ø. Nyland,31,192,90,69,69,GK,4,1,69,68,68,70,47,68,12,11,13,29,14,21,13,14,35,23,47,48,45,64,53,51,71,33,70,13,26,21,13,33,25,39,17,11,12,69,68,68,68,70,24.4140625,1,Alta
L. Zingerle,28,185,78,69,69,GK,3,1,70,66,66,71,42,68,11,7,10,28,8,9,11,12,13,20,38,47,38,65,51,50,64,34,54,6,21,11,8,40,15,47,11,9,10,70,66,66,68,71,22.79035792549306,1,Alta
L. Grill,23,192,85,69,73,GK,3,1,72,64,61,73,40,65,8,5,14,29,6,15,10,8,27,26,38,43,40,63,29,46,56,31,60,5,20,8,6,45,11,38,10,14,11,72,64,61,65,73,23.057725694444446,1,Alta
Luiz Felipe,25,198,90,69,73,GK,3,1,70,70,69,69,25,68,10,5,11,22,8,14,11,10,27,11,30,18,36,58,28,52,38,16,71,6,25,14,4,37,10,26,7,10,14,70,70,69,68,69,22.95684113865932,1,Alta
